mode,query,query_type,difficulty,latency,ndcg@5,ndcg@10,mrr,recall@5,recall@10,precision@5,precision@10,f1@5,f1@10,result_doc_types
Hybrid_RRF,connect printer to wifi network,semantic,medium,0.03647637367248535,0.36005461457723403,0.5691451420674095,0.5,0.4,0.8,0.4,0.4,0.4000000000000001,0.5333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,replace toner cartridge,keyword,easy,0.0403742790222168,0.21398626473452756,0.32703966649239957,0.5,0.2,0.4,0.2,0.2,0.20000000000000004,0.26666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,clean the printhead,semantic,medium,0.03834867477416992,0.36005461457723403,0.4621520097001457,0.5,0.4,0.6,0.4,0.3,0.4000000000000001,0.4,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,paper jam solution,keyword,easy,0.03842592239379883,0.8539316501572937,0.8539316501572937,1.0,0.8,0.8,0.8,0.4,0.8000000000000002,0.5333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,send fax to multiple recipients,semantic,hard,0.034639835357666016,0.8539316501572937,0.8539316501572937,1.0,0.8,0.8,0.8,0.4,0.8000000000000002,0.5333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,factory reset printer,semantic,medium,0.025310277938842773,0.13120507751234178,0.13120507751234178,0.2,0.2,0.2,0.2,0.1,0.20000000000000004,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,software update for printer,semantic,medium,0.03183245658874512,0.5531464700081437,0.6739577727076379,1.0,0.4,0.6,0.4,0.3,0.4000000000000001,0.4,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,configure network settings,semantic,hard,0.03795933723449707,0.34519134224686937,0.5603421391276531,0.5,0.4,0.8,0.4,0.4,0.4000000000000001,0.5333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,check ink level,keyword,easy,0.0381312370300293,0.48522855511632257,0.48522855511632257,1.0,0.4,0.4,0.4,0.2,0.4000000000000001,0.26666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,duplex printing setup,semantic,medium,0.04066658020019531,0.0,0.11305340175787204,0.14285714285714285,0.0,0.2,0.0,0.1,0.0,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
