mode,query,query_type,difficulty,latency,num_results,ndcg@5,ndcg@10,mrr,result_0_id,result_1_id,result_2_id,result_3_id,result_4_id,result_0_score,result_1_score,result_2_score,result_3_score,result_4_score
Pure_BM25,change paper size,keyword,easy,0.0042531490325927734,10,0.0,0.0,0.0,entry_48_358cd9f7,entry_38_10bcc2a2,entry_44_ee450e81,entry_42_f618b17f,entry_73_0cd30573,,,,,
Pure_BM25,set up scan to network folder,semantic,hard,0.004250049591064453,10,0.0,0.0,0.0,entry_79_2afb7d72,entry_77_7ea2dbe4,entry_80_8dcaba9f,entry_246_d65f773d,entry_244_1a2e9f66,,,,,
Pure_BM25,firmware upgrade instructions,semantic,medium,0.0037004947662353516,10,0.0,0.0,0.0,entry_63_f26b5d3b,entry_62_93409445,entry_272_30582464,entry_189_d2b58839,entry_334_7db2133d,,,,,
Pure_BM25,default settings,keyword,easy,0.0032351016998291016,10,0.0,0.0,0.0,entry_266_5065ce57,entry_48_358cd9f7,entry_268_5d8b6239,entry_75_4c094b90,entry_127_4273de56,,,,,
Pure_BM25,how to use automatic document feeder,semantic,medium,0.004336833953857422,10,0.0,0.0,0.0,entry_47_6461d5ef,entry_262_83ad531b,entry_205_73f16dec,entry_293_2100fd9a,entry_7_bb76a6b2,,,,,
Pure_BM25,adjust print density,semantic,medium,0.002712249755859375,10,0.0,0.0,0.0,entry_82_58014d38,entry_73_0cd30573,entry_76_816b45c4,604853d9-a211-4ac5-8bb3-0015a342249f,entry_47_6461d5ef,,,,,
Pure_BM25,cancel print job,keyword,easy,0.003242969512939453,10,0.0,0.0,0.0,entry_118_04a096c2,entry_98_93cf60da,entry_133_9ec0ff3a,df7e81ca-e4b8-4c4c-ae0c-0b0f382d1ff4,entry_66_84cea361,,,,,
Pure_BM25,network troubleshooting guide,semantic,hard,0.0028374195098876953,10,0.0,0.0,0.0,entry_271_01eedb11,entry_57_c6d92592,entry_242_6cb06162,entry_69_3ba35a02,entry_223_b07c3862,,,,,
Pure_BM25,recommended paper types,keyword,easy,0.0028007030487060547,10,0.0,0.0,0.0,entry_208_20250228,entry_49_f897694c,b2f04ff5-d20f-4070-a835-9e348e4286ca,entry_290_15983515,entry_302_d1452607,,,,,
Hybrid_RRF,how to reset the device,semantic,easy,0.026144742965698242,10,0.0,0.0,0.0,268,267,265,266,entry_78_95d6a64f,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015625
Hybrid_RRF,scan to email,keyword,easy,0.02906060218811035,10,0.0,0.0,0.0,78,2794,14,82,1204,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,print from mobile phone,semantic,medium,0.02455449104309082,10,0.6992148198508501,0.8062079522181139,1.0,68,77,78,66,entry_243_04adbdd7,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015625
Hybrid_RRF,connect printer to wifi network,semantic,medium,0.03647637367248535,10,0.36005461457723403,0.5691451420674095,0.5,27,29,69,32,36,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,replace toner cartridge,keyword,easy,0.0403742790222168,10,0.21398626473452756,0.32703966649239957,0.5,195,194,222,262,142,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,clean the printhead,semantic,medium,0.03834867477416992,10,0.36005461457723403,0.4621520097001457,0.5,264,262,255,263,259,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,paper jam solution,keyword,easy,0.03842592239379883,10,0.8539316501572937,0.8539316501572937,1.0,202,206,204,209,205,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,send fax to multiple recipients,semantic,hard,0.034639835357666016,10,0.8539316501572937,0.8539316501572937,1.0,96,88,87,133,91,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,factory reset printer,semantic,medium,0.025310277938842773,10,0.13120507751234178,0.13120507751234178,0.2,269,265,63,268,208,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,software update for printer,semantic,medium,0.03183245658874512,10,0.5531464700081437,0.6739577727076379,1.0,63,64,273,16,58,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,configure network settings,semantic,hard,0.03795933723449707,10,0.34519134224686937,0.5603421391276531,0.5,53,58,254,entry_119_bd85f096,246,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015873015873015872,0.015625
Hybrid_RRF,check ink level,keyword,easy,0.0381312370300293,10,0.48522855511632257,0.48522855511632257,1.0,192,142,49,72,71,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,duplex printing setup,semantic,medium,0.04066658020019531,10,0.0,0.11305340175787204,0.14285714285714285,50,entry_29_8f1ad37f,157,22997c29-cc9d-40d2-970d-0cf51a0391d7,155,0.01639344262295082,0.01639344262295082,0.016129032258064516,0.016129032258064516,0.015873015873015872
Hybrid_RRF,scan document to USB drive,semantic,medium,0.04119157791137695,10,0.3391602052736161,0.4371994911049732,1.0,79,78,77,82,68,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,setup email notification,semantic,hard,0.0410456657409668,10,0.0,0.0,0.0,2794,entry_150_d4614946,1142,22997c29-cc9d-40d2-970d-0cf51a0391d7,1204,0.01639344262295082,0.01639344262295082,0.016129032258064516,0.016129032258064516,0.015873015873015872
Hybrid_RRF,how to install printer driver,semantic,medium,0.03950667381286621,10,0.0,0.0,0.0,30,entry_3_5ee11d85,220,27,entry_64_45d32212,0.01639344262295082,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015873015873015872
Hybrid_RRF,wireless connection setup,semantic,medium,0.03772616386413574,10,0.0,0.0,0.0,314,entry_20_645335ce,31,entry_9_1e138401,27,0.01639344262295082,0.01639344262295082,0.016129032258064516,0.016129032258064516,0.015873015873015872
Hybrid_RRF,maintenance schedule,keyword,medium,0.037601470947265625,10,0.48522855511632257,0.48522855511632257,1.0,259,1142,e9970030-45bf-42de-b263-706a5f107fc4,285,9f6095ac-8309-4d4e-acc4-85584429e893,0.01639344262295082,0.016129032258064516,0.016129032258064516,0.015873015873015872,0.015873015873015872
Hybrid_RRF,troubleshoot print quality,semantic,hard,0.03997945785522461,10,0.7227265726449519,0.7227265726449519,1.0,222,255,223,entry_213_834e8aba,298,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015873015873015872,0.015625
Hybrid_RRF,energy saving mode,keyword,easy,0.041365861892700195,10,0.16958010263680806,0.16958010263680806,0.3333333333333333,282,8553cda0-5e5b-42b1-9c9a-4f08e0ce83ed,61,1457,entry_285_56abaec2,0.01639344262295082,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015873015873015872
Hybrid_RRF,how to scan multiple pages,semantic,medium,0.039838314056396484,10,0.16958010263680806,0.16958010263680806,0.3333333333333333,2378,entry_94_99fa315e,213,2040,entry_85_c1e10206,0.01639344262295082,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015873015873015872
Hybrid_RRF,change paper size,keyword,easy,0.040357351303100586,10,0.3391602052736161,0.45221360703148816,1.0,49,213,39,43,45,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,set up scan to network folder,semantic,hard,0.04357481002807617,10,0.0,0.0,0.0,78,82,81,80,entry_246_d65f773d,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015625
Hybrid_RRF,firmware upgrade instructions,semantic,medium,0.04081988334655762,10,0.0,0.0,0.0,63,64,319,53,314,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015384615384615385
Hybrid_RRF,default settings,keyword,easy,0.03075098991394043,10,0.0,0.10699313236726378,0.125,53,267,268,269,entry_75_4c094b90,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015625
Hybrid_RRF,how to use automatic document feeder,semantic,medium,0.029986143112182617,10,0.6992148198508501,0.6992148198508501,1.0,263,48,8,206,entry_293_2100fd9a,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015625
Hybrid_RRF,adjust print density,semantic,medium,0.02988123893737793,10,0.0,0.0,0.0,223,49,298,entry_76_816b45c4,39,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015873015873015872,0.015625
Hybrid_RRF,cancel print job,keyword,easy,0.026654958724975586,10,0.0,0.10209739512291163,0.1111111111111111,207,entry_118_04a096c2,287,entry_98_93cf60da,262,0.01639344262295082,0.01639344262295082,0.016129032258064516,0.016129032258064516,0.015873015873015872
Hybrid_RRF,network troubleshooting guide,semantic,hard,0.027289628982543945,10,0.0,0.0,0.0,272,243,256,254,entry_69_3ba35a02,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015625,0.015625
Hybrid_RRF,recommended paper types,keyword,easy,0.02940082550048828,10,0.21398626473452756,0.32097939710179135,0.5,51,50,74,b2f04ff5-d20f-4070-a835-9e348e4286ca,298,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.015873015873015872,0.015625
Hybrid_CrossEncoder_L6,how to reset the device,semantic,easy,14.703555822372437,10,0.0,0.0,0.0,269,267,268,243,265,0.014925373134328358,0.016129032258064516,0.01639344262295082,0.011494252873563218,0.015873015873015872
Hybrid_CrossEncoder_L6,scan to email,keyword,easy,1.4619784355163574,10,0.0,0.11305340175787204,0.14285714285714285,78,80,81,82,114,0.01639344262295082,0.013157894736842105,0.0136986301369863,0.015625,0.012048192771084338
Hybrid_CrossEncoder_L6,print from mobile phone,semantic,medium,1.645754098892212,10,0.48522855511632257,0.48522855511632257,1.0,68,69,65,77,186,0.01639344262295082,0.014285714285714285,0.0136986301369863,0.016129032258064516,0.011764705882352941
Hybrid_CrossEncoder_L6,connect printer to wifi network,semantic,medium,1.5500948429107666,10,0.8539316501572937,0.8539316501572937,1.0,24,29,31,35,32,0.014705882352941176,0.016129032258064516,0.014925373134328358,0.015151515151515152,0.015625
Hybrid_CrossEncoder_L6,replace toner cartridge,keyword,easy,1.6845026016235352,10,0.5531464700081437,0.7622369974983191,1.0,194,193,73,142,195,0.016129032258064516,0.014925373134328358,0.0136986301369863,0.015384615384615385,0.01639344262295082
Hybrid_CrossEncoder_L6,clean the printhead,semantic,medium,1.6727242469787598,10,0.3391602052736161,0.7821154372211577,1.0,250,264,288,223,255,0.014492753623188406,0.01639344262295082,0.012987012987012988,0.014925373134328358,0.015873015873015872
Hybrid_CrossEncoder_L6,paper jam solution,keyword,easy,1.4363000392913818,10,0.8539316501572937,0.9609247825245575,1.0,202,204,206,203,200,0.01639344262295082,0.015873015873015872,0.016129032258064516,0.015151515151515152,0.013513513513513514
Hybrid_CrossEncoder_L6,send fax to multiple recipients,semantic,hard,1.7258257865905762,10,0.6548086577531307,0.7528479435844877,1.0,96,89,88,92,95,0.01639344262295082,0.013888888888888888,0.016129032258064516,0.011764705882352941,0.014705882352941176
Hybrid_CrossEncoder_L6,factory reset printer,semantic,medium,1.8997817039489746,10,0.21398626473452756,0.21398626473452756,0.5,269,208,268,267,265,0.01639344262295082,0.015384615384615385,0.015625,0.015151515151515152,0.016129032258064516
Hybrid_CrossEncoder_L6,software update for printer,semantic,medium,1.7506742477416992,10,0.7227265726449519,0.7227265726449519,1.0,63,62,64,16,entry_65_d1eb4a2f,0.01639344262295082,0.015151515151515152,0.016129032258064516,0.015625,0.01282051282051282
Hybrid_CrossEncoder_L6,configure network settings,semantic,hard,1.6459081172943115,10,0.16958010263680806,0.4994819328264776,0.3333333333333333,59,53,58,254,54,0.015384615384615385,0.01639344262295082,0.016129032258064516,0.015873015873015872,0.014492753623188406
Hybrid_CrossEncoder_L6,check ink level,keyword,easy,1.7285888195037842,10,0.3391602052736161,0.45221360703148816,1.0,192,142,73,223,194,0.01639344262295082,0.016129032258064516,0.0136986301369863,0.014705882352941176,0.013888888888888888
