mode,query,query_type,difficulty,latency,ndcg@5,ndcg@10,mrr,recall@5,recall@10,precision@5,precision@10,f1@5,f1@10,relevant_count,result_doc_types
Pure_BM25,troubleshoot print quality,semantic,hard,0.10151267051696777,0.5255474452554745,0.40970058257688663,1.0,0.6666666666666666,0.6666666666666666,0.4,0.2,0.5,0.30769230769230765,2.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_BM25,configure network settings,semantic,hard,0.09688186645507812,0.0,0.0910445739059748,0.16666666666666666,0.0,0.6666666666666666,0.0,0.2,0,0.30769230769230765,2.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_BM25,send fax to multiple recipients,semantic,hard,0.0886385440826416,0.6569343065693432,0.5988348462267986,1.0,0.6666666666666666,1.3333333333333333,0.4,0.4,0.5,0.6153846153846153,9.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_BM25,clean the printhead,semantic,medium,0.08139967918395996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""Healthcare""]"
Pure_BM25,factory reset printer,semantic,medium,0.09282231330871582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""Game"", ""TechDocs"", ""TechDocs"", ""Game"", ""TechDocs""]"
Pure_BM25,check ink level,keyword,easy,0.08164262771606445,0.43795620437956206,0.34141715214740553,1.0,0.3333333333333333,0.3333333333333333,0.2,0.1,0.25,0.15384615384615383,1.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_BM25,duplex printing setup,semantic,medium,0.10149741172790527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""Academic"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_BM25,scan document to USB drive,semantic,medium,0.09952616691589355,0.43795620437956206,0.34141715214740553,1.0,0.3333333333333333,0.3333333333333333,0.2,0.1,0.25,0.15384615384615383,1.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_BM25,maintenance schedule,keyword,medium,0.0945577621459961,0.43795620437956206,0.34141715214740553,1.0,0.3333333333333333,0.3333333333333333,0.2,0.1,0.25,0.15384615384615383,1.0,"[""TechDocs"", ""Other"", ""Other"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""Game"", ""TechDocs"", ""TechDocs"", ""Other""]"
Pure_BM25,energy saving mode,keyword,easy,0.1253678798675537,0.21897810218978103,0.17070857607370277,0.5,0.3333333333333333,0.3333333333333333,0.2,0.1,0.25,0.15384615384615383,2.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""Game"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_BM25,change paper size,keyword,easy,0.11764264106750488,0.43795620437956206,0.3755588673621461,1.0,0.3333333333333333,0.6666666666666666,0.2,0.2,0.25,0.30769230769230765,3.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
